state_abbr,county_name,fips,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016
AK,Alaska,1,327341,123594,193841,9906,300495,122640,164676,13179,318608,116454,163387,38767
AL,Autauga County,1001,23641,6093,17403,145,23909,6354,17366,189,24661,5908,18110,643
AL,Baldwin County,1003,81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901
AL,Barbour County,1005,11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111
AL,Bibb County,1007,8644,2299,6262,83,8391,2200,6131,60,8748,1874,6733,141
AL,Blount County,1009,24267,3522,20389,356,23980,2961,20741,278,25384,2150,22808,426
AL,Bullock County,1011,5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32
AL,Butler County,1013,9709,4188,5485,36,9483,4367,5081,35,8685,3716,4891,78
AL,Calhoun County,1015,49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376
AL,Chambers County,1017,14956,6799,8067,90,14562,6853,7596,113,13778,5763,7803,212
AL,Cherokee County,1019,9745,2306,7298,141,9761,2126,7494,141,10503,1524,8809,170
AL,Chilton County,1021,17785,3674,13960,151,17434,3391,13910,133,18255,2909,15068,278
AL,Choctaw County,1023,7894,3636,4223,35,7965,3785,4150,30,7268,3109,4102,57
AL,Clarke County,1025,13435,5914,7466,55,13827,6317,7463,47,12936,5712,7109,115
AL,Clay County,1027,6819,1760,4984,75,6640,1770,4802,68,6572,1234,5230,108
AL,Cleburne County,1029,6492,1168,5216,108,6302,971,5269,62,6532,684,5738,110
AL,Coffee County,1031,20128,5079,14919,130,19715,4899,14638,178,20513,4194,15825,494
AL,Colbert County,1033,24843,9703,14739,401,23374,9160,13931,283,24626,7296,16718,612
AL,Conecuh County,1035,6943,3429,3470,44,7013,3551,3434,28,6543,3069,3413,61
AL,Coosa County,1037,5563,2273,3248,42,5243,2188,3028,27,5223,1780,3376,67
AL,Covington County,1039,15787,3240,12444,103,15415,3155,12148,112,15818,2379,13222,217
AL,Crenshaw County,1041,6291,1938,4319,34,6411,2048,4326,37,6252,1663,4511,78
AL,Cullman County,1043,35305,5864,28896,545,33178,4855,27930,393,37278,3730,32734,814
AL,Dale County,1045,19320,5270,13886,164,18551,5283,13105,163,18617,4408,13798,411
AL,Dallas County,1047,20852,13986,6798,68,20936,14599,6284,53,18730,12826,5784,120
